[data] N=2689  papers=6
[filter] local-only eligible MSUs: 2689/2689 categories=ALL, min_rank=-1
[cand] 30000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2686/2689 eligible MSUs occur in at least one submitted pair
[judge] 7550/30000  kept=2650
[judge] 7560/30000  kept=2654
[judge] 7570/30000  kept=2659
[judge] 7580/30000  kept=2662
[judge] 7590/30000  kept=2664
[judge] 7600/30000  kept=2669
[judge] 7610/30000  kept=2671
[judge] 7620/30000  kept=2675
[judge] 7630/30000  kept=2678
[judge] 7640/30000  kept=2680
[judge] 7650/30000  kept=2683
[judge] 7660/30000  kept=2686
[judge] 7670/30000  kept=2688
[judge] 7680/30000  kept=2691
[judge] 7690/30000  kept=2693
[judge] 7700/30000  kept=2697
[judge] 7710/30000  kept=2701
[judge] 7720/30000  kept=2703
[judge] 7730/30000  kept=2706
[judge] 7740/30000  kept=2708
[judge] 7750/30000  kept=2712
[judge] 7760/30000  kept=2713
[judge] 7770/30000  kept=2716
[judge] 7780/30000  kept=2720
[judge] 7790/30000  kept=2725
[judge] 7800/30000  kept=2730
[judge] 7810/30000  kept=2731
[judge] 7820/30000  kept=2733
[judge] 7830/30000  kept=2735
[judge] 7840/30000  kept=2739
[judge] 7850/30000  kept=2742
[judge] 7860/30000  kept=2745
[judge] 7870/30000  kept=2748
[judge] 7880/30000  kept=2750
[judge] 7890/30000  kept=2753
[judge] 7900/30000  kept=2755
[judge] 7910/30000  kept=2758
[judge] 7920/30000  kept=2762
[judge] 7930/30000  kept=2764
[judge] 7940/30000  kept=2765
[judge] 7950/30000  kept=2769
[judge] 7960/30000  kept=2771
[judge] 7970/30000  kept=2774
[judge] 7980/30000  kept=2776
[judge] 7990/30000  kept=2780
[judge] 8000/30000  kept=2783
[judge] 8010/30000  kept=2784
[judge] 8020/30000  kept=2787
[judge] 8030/30000  kept=2788
[judge] 8040/30000  kept=2789
[judge] 8050/30000  kept=2794
[judge] 8060/30000  kept=2797
[judge] 8070/30000  kept=2799
[judge] 8080/30000  kept=2800
[judge] 8090/30000  kept=2802
